Symbol,Name,Market Cap,Price,Circulating Supply,Cryptocurrency
PINK,PinkCoin,"$8,296,032",$0.022524,368322950,coin
KORE,Kore,"$8,256,172",$4.08,2021986,coin
YOC,Yocoin,"$7,399,889",$0.067994,108831500,coin
XBY,XTRABYTES,"$7,359,665",$0.017115,430000000,coin
CURE,Curecoin,"$7,187,060",$0.302009,23797502,coin
ODN,Obsidian,"$6,962,686",$0.285356,24400000,coin
EDR,E-Dinar Coin,"$6,917,248",$0.007805,886211988,coin
MOON,Mooncoin,"$6,752,901",$0.000030,"2,22689E+11",coin
HEAT,HEAT,"$6,542,454",$0.217604,30065872,coin
DYN,Dynamic,"$6,507,584",$3.51,1852603,coin
MUSIC,Musicoin,"$6,476,237",$0.014887,435014658,coin
SEQ,Sequence,"$6,258,663",$0.138678,45130900,coin
BITB,BitBean,"$6,200,525",$0.002805,2210723000,coin
GLD,GoldCoin,"$6,132,458",$0.150991,40614724,coin
XST,Stealthcoin,"$6,005,524",$0.219678,27337851,coin
EQT,EquiTrader,"$5,994,815",$0.618966,9685209,coin
HTML5,HTMLCOIN,"$5,921,132",$0.000146,40659020000,coin
POSW,PoSW Coin,"$5,904,064",$0.133879,44100000,coin
MTNC,Masternodecoin,"$5,878,103",$0.122143,48124761,coin
XC,XCurrency,"$5,851,267",$0.998137,5862188,coin
EXCL,ExclusiveCoin,"$5,827,367",$1.35,4319512,coin
RUP,Rupee,"$5,703,393",$0.258475,22065550,coin
AUR,Auroracoin,"$5,482,559",$0.633226,8658139,coin
ERC,EuropeCoin,"$5,433,113",$0.546373,9943963,coin
PASC,Pascal Coin,"$5,413,485",$0.361253,14985300,coin
XBC,Bitcoin Plus,"$5,310,373",$51.75,102621,coin
ABY,ArtByte,"$5,074,996",$0.006403,792537250,coin
GCR,Global Currency Reserve,"$5,059,685",$0.048956,103352320,coin
SNRG,Synergy,"$4,802,894",$1.51,3178893,coin
BELA,Bela,"$4,626,606",$0.120403,38426000,coin
PTC,Pesetacoin,"$4,605,368",$0.035046,131408114,coin
IOP,Internet of People,"$4,504,127",$2.48,1816107,coin
XMY,Myriad,"$4,502,158",$0.002947,1527812500,coin
HUSH,Hush,"$4,501,774",$2.01,2242500,coin
ZEIT,Zeitcoin,"$4,468,185",$0.000121,36971147180,coin
SWIFT,Bitswift,"$4,422,980",$1.09,4069016,coin
